START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2023-01-01 21:11,2023-01-01 21:17,Business,Jaipur,Rajkot,8.2,Meal/Entertain
2023-01-02 01:25,2023-01-02 01:37,Business,Srinagar,Bhopal,8.0,Errand/Supplies
2023-01-02 20:25,2023-01-02 20:38,Business,Ludhiana,Hyderabad,7.7,Errand/Supplies
2023-01-05 17:31,2023-01-05 17:45,Business,Nagpur,Kalyan,7.6,Meeting
2023-01-06 14:42,2023-01-06 15:49,Business,Chandigarh,Chandigarh,99.9,Customer Visit
2023-01-06 17:15,2023-01-06 17:19,Business,Gwalior,Allahabad,6.9,Meal/Entertain
2023-01-06 17:30,2023-01-06 17:35,Business,Tiruchirappalli,Tiruchirappalli,11.4,Meeting
2023-01-07 13:27,2023-01-07 13:33,Business,Navi Mumbai,Lucknow,1.3,Meeting
2023-01-10 08:05,2023-01-10 08:25,Business,Jodhpur,Coimbatore,13.4,Meeting
2023-01-10 12:17,2023-01-10 12:44,Business,Rajkot,Lucknow,26.6,Customer Visit
2023-01-10 15:08,2023-01-10 15:51,Business,Lucknow,Kanpur,17.4,Meeting
2023-01-10 18:18,2023-01-10 18:53,Business,Vijayawada,Jabalpur,12.1,Meeting
2023-01-10 19:12,2023-01-10 19:32,Business,Delhi,Hubli,10.0,Meeting
2023-01-11 08:55,2023-01-11 09:21,Business,Faridabad,Faridabad,10.3,Temporary Site
2023-01-11 11:56,2023-01-11 12:03,Business,Madurai,Chennai,2.6,Errand/Supplies
2023-01-11 13:32,2023-01-11 13:46,Business,Nashik,Indore,2.7,Meal/Entertain
2023-01-11 14:30,2023-01-11 14:43,Business,Kalyan,Lucknow,3.1,Meal/Entertain
2023-01-12 12:33,2023-01-12 12:49,Business,Solapur,Madurai,3.1,Meal/Entertain
2023-01-12 12:53,2023-01-12 13:09,Business,Kalyan,Delhi,6.4,Meal/Entertain
2023-01-12 14:42,2023-01-12 14:56,Business,Tiruchirappalli,Kanpur,2.9,Errand/Supplies
2023-01-12 15:13,2023-01-12 15:28,Business,Vasai,Ghaziabad,3.9,Customer Visit
2023-01-12 15:42,2023-01-12 15:54,Business,Jabalpur,Bhopal,3.2,Errand/Supplies
2023-01-12 16:02,2023-01-12 17:00,Business,Raipur,Tiruchirappalli,24.3,Meeting
2023-01-13 13:54,2023-01-13 14:07,Business,Chennai,Ahmedabad,18.0,Meeting
2023-01-13 15:00,2023-01-13 15:28,Business,Ludhiana,Gwalior,19.0,Meeting
2023-01-14 16:29,2023-01-14 17:05,Business,Visakhapatnam,Kota,35.2,Customer Visit
2023-01-14 21:39,2023-01-14 21:45,Business,Nashik,Lucknow,6.3,Errand/Supplies
2023-01-15 00:41,2023-01-15 01:01,Business,Varanasi,Patna,12.9,Errand/Supplies
2023-01-15 11:43,2023-01-15 12:03,Business,Patna,Jaipur,16.7,Meal/Entertain
2023-01-15 13:26,2023-01-15 13:44,Business,Jaipur,Lucknow,16.7,Meal/Entertain
2023-01-18 14:55,2023-01-18 15:06,Business,Ghaziabad,Chennai,7.7,Meal/Entertain
2023-01-18 16:13,2023-01-18 16:24,Business,Aurangabad,Kota,7.6,Meal/Entertain
2023-01-19 09:09,2023-01-19 09:23,Business,Chandigarh,Lucknow,11.6,Meeting
2023-01-19 10:55,2023-01-19 11:09,Business,Jabalpur,Dhanbad,12.2,Temporary Site
2023-01-20 10:36,2023-01-20 11:11,Business,Indore,Pune,27.5,Meeting
2023-01-20 11:48,2023-01-20 12:19,Business,Raipur,Rajkot,24.3,Meeting
2023-01-20 13:25,2023-01-20 14:19,Business,Coimbatore,Coimbatore,64.7,Customer Visit
2023-01-21 14:25,2023-01-21 14:29,Business,Nagpur,Coimbatore,2.6,Errand/Supplies
2023-01-21 14:43,2023-01-21 14:51,Business,Coimbatore,Bhopal,3.9,Meal/Entertain
2023-01-21 16:01,2023-01-21 16:06,Business,Jaipur,Mysore,1.6,Meal/Entertain
2023-01-26 10:41,2023-01-26 10:50,Business,Madurai,Kanpur,3.2,Meal/Entertain
2023-01-26 12:33,2023-01-26 12:41,Business,Indore,Coimbatore,3.7,Errand/Supplies
2023-01-26 16:24,2023-01-26 16:32,Business,Chennai,Bangalore,3.1,Errand/Supplies
2023-01-26 17:17,2023-01-26 17:22,Business,Vijayawada,Rajkot,2.3,Errand/Supplies
2023-01-26 17:27,2023-01-26 17:29,Business,Pune,Lucknow,0.8,Errand/Supplies
2023-01-27 09:24,2023-01-27 09:31,Business,Navi Mumbai,Vadodara,2.9,Meeting
2023-01-27 10:19,2023-01-27 10:48,Business,Lucknow,Hyderabad,30.1,Customer Visit
2023-01-27 12:34,2023-01-27 12:44,Business,Chennai,Pune,5.5,Customer Visit
2023-01-27 14:05,2023-01-27 14:13,Business,Ranchi,Pune,4.3,Customer Visit
2023-01-27 14:46,2023-01-27 15:08,Business,Chennai,Srinagar,20.8,Customer Visit
2023-01-28 12:28,2023-01-28 13:00,Business,Kanpur,Varanasi,30.6,Temporary Site
2023-01-28 15:11,2023-01-28 15:31,Business,Chennai,Amritsar,23.7,Meeting
2023-01-28 16:21,2023-01-28 16:51,Business,Varanasi,Mysore,25.3,Meeting
2023-01-29 09:31,2023-01-29 09:45,Business,Hyderabad,Vadodara,7.4,Customer Visit
2023-01-29 10:56,2023-01-29 11:07,Business,Bhopal,Agra,8.4,Meeting
2023-01-29 11:43,2023-01-29 12:03,Business,Chennai,Bhopal,16.7,Meeting
2023-01-29 13:24,2023-01-29 13:47,Business,Ahmedabad,Hyderabad,16.3,Meeting
2023-01-29 18:31,2023-01-29 18:52,Business,Dhanbad,Ranchi,9.3,Errand/Supplies
2023-01-29 21:21,2023-01-29 21:40,Business,Patna,Nashik,8.9,Meal/Entertain
2023-01-30 16:21,2023-01-30 16:33,Business,Aurangabad,Ahmedabad,9.2,Errand/Supplies
2023-01-30 18:09,2023-01-30 18:24,Business,Jabalpur,Jaipur,9.2,Customer Visit
2023-02-01 10:35,2023-02-01 11:15,Business,Hubli,Bangalore,31.2,Customer Visit
2023-02-01 12:10,2023-02-01 12:43,Business,Jodhpur,Chennai,37.5,Customer Visit
2023-02-01 12:56,2023-02-01 13:07,Business,Guwahati,Faridabad,6.3,Meal/Entertain
2023-02-02 13:04,2023-02-02 13:23,Business,Patna,Navi Mumbai,13.4,Meeting
2023-02-02 13:51,2023-02-02 14:06,Business,Indore,Madurai,9.7,Errand/Supplies
